/home/zck7060/anaconda3/envs/mujoco/lib/python3.7/site-packages/tianshou/env/pettingzoo_env.py:15: DeprecationWarning: You are using PettingZoo 1.12.0. Future tianshou versions may not support PettingZoo<1.21.0. Consider upgrading your PettingZoo version.
  f"Consider upgrading your PettingZoo version.", DeprecationWarning
Episode 43, Reward 144.35
Episode 43, Reward 1
Episode 44, Reward 1.0499999999999998
Episode 44, Reward 17.7
Episode 44, Reward -48
Episode 44, Reward 5.0
Episode 44, Reward 0.35
Episode 45, Reward 0.7
Episode 45, Reward -32
Episode 45, Reward -28
Episode 45, Reward 0.35
Episode 45, Reward 108.05
Episode 46, Reward -14
Episode 46, Reward -11
Episode 46, Reward 19.0
Episode 46, Reward 126.0
Episode 46, Reward 13.0
Episode 47, Reward -57
Episode 47, Reward 13.7
Episode 47, Reward 113.0
Episode 47, Reward 5.1
Episode 47, Reward 12.0
Episode 48, Reward 4.75
Episode 48, Reward 107.0
Episode 48, Reward 2.4499999999999997
Episode 48, Reward 6.7
Episode 48, Reward 112.0
Episode 49, Reward 112.35
Episode 49, Reward 1.0499999999999998
Episode 49, Reward 5.0
Episode 49, Reward 112.0
Episode 49, Reward 0.0
Episode 50, Reward 110.7
Episode 50, Reward 107.35
Episode 50, Reward 214.4
Episode 50, Reward 119.7
Episode 50, Reward 110.05
Episode 51, Reward 108.0
Episode 51, Reward 249.35
Episode 51, Reward 109.75
Episode 51, Reward 102.35
Episode 51, Reward 112.0
Episode 52, Reward -15
Episode 52, Reward -11
Episode 52, Reward 1.75
Episode 52, Reward 107.7
Episode 52, Reward 106.05
Episode 53, Reward 108.7
Episode 53, Reward 109.75
Episode 53, Reward 119.05
Episode 53, Reward -33
Episode 53, Reward 121.0
Episode 54, Reward 113.05
Episode 54, Reward 112.0
Episode 54, Reward -65
Episode 54, Reward 1.75
Episode 54, Reward -65
Episode 55, Reward 17.1
Episode 55, Reward 11.35
Episode 55, Reward 15.0
Episode 55, Reward 15.7
Episode 55, Reward 16.35
Episode 56, Reward 12.05
Episode 56, Reward 10.05
Episode 56, Reward 15.0
Episode 56, Reward 17.4
Episode 56, Reward 118.35
Episode 57, Reward 21.0
Episode 57, Reward 21.7
Episode 57, Reward 10.75
Episode 57, Reward 119.05
Episode 57, Reward 13.0
Episode 58, Reward 19.7
Episode 58, Reward 7.05
Episode 58, Reward 19.0
Episode 58, Reward 6.7
Episode 58, Reward 18.75
Episode 59, Reward 10.4
Episode 59, Reward 124.35
Episode 59, Reward 14.05
Episode 59, Reward 16.0
Episode 59, Reward 17.0
Episode 60, Reward 19.0
Episode 60, Reward 7.4
Episode 60, Reward 18.05
Episode 60, Reward 52.699999999999996
Episode 60, Reward 12.0
Episode 61, Reward 24.0
Episode 61, Reward 23.0
Episode 61, Reward 18.0
Episode 61, Reward 17.0
Episode 61, Reward 22.0
Episode 62, Reward 12.35
Episode 62, Reward 105.4
Episode 62, Reward 115.0
Episode 62, Reward 118.75
Episode 62, Reward 120.7
Episode 63, Reward 0.7
Episode 63, Reward 14.4
Episode 63, Reward 0.0
Episode 63, Reward 6.0
Episode 63, Reward 6.0
Episode 64, Reward 24.0
Episode 64, Reward 10.75
Episode 64, Reward 7.05
Episode 64, Reward 11.35
Episode 64, Reward 112.7
Episode 65, Reward 13.35
Episode 65, Reward 19.0
Episode 65, Reward 19.0
Episode 65, Reward 13.7
Episode 65, Reward -42
Episode 66, Reward 7.75
Episode 66, Reward 12.4
Episode 66, Reward 6.35
Episode 66, Reward -27
Episode 66, Reward 14.75
Episode 67, Reward 111.7
Episode 67, Reward 7.4
Episode 67, Reward 153.7
Episode 67, Reward 6.35
Episode 67, Reward 111.0
Episode 68, Reward 151.1
Episode 68, Reward -42
Episode 68, Reward 24.7
Episode 68, Reward 109.75
Episode 68, Reward 115.0
Episode 69, Reward -16
Episode 69, Reward 13.7
Episode 69, Reward 1.75
Episode 69, Reward 12.35
Episode 69, Reward 0.0
Episode 70, Reward 14.4
Episode 70, Reward 18.35
Episode 70, Reward 13.7
Episode 70, Reward 19.75
Episode 70, Reward 13.0
Episode 71, Reward 11.4
Episode 71, Reward 12.7
Episode 71, Reward 5.0
Episode 71, Reward 7.75
Episode 71, Reward 24.4
Episode 72, Reward 18.0
Episode 72, Reward 5.0
Episode 72, Reward 1.4
Episode 72, Reward 6.0
Episode 72, Reward 0.35
Episode 73, Reward 5.35
Episode 73, Reward 6.0
Episode 73, Reward 20.1
Episode 73, Reward 6.0
Episode 73, Reward 15.35
Episode 74, Reward -5
Episode 74, Reward 30.05
Episode 74, Reward 7.4
Episode 74, Reward 6.7
Episode 74, Reward 7.05
Episode 75, Reward 24.7
Episode 75, Reward 7.05
Episode 75, Reward 15.35
Episode 75, Reward 12.35
Episode 75, Reward 12.7
Episode 76, Reward 0.35
Episode 76, Reward 0.7
Episode 76, Reward 14.4
Episode 76, Reward 6.7
Episode 76, Reward -19
Episode 77, Reward -13
Episode 77, Reward 7.4
Episode 77, Reward 6.0
Episode 77, Reward 6.0
Episode 77, Reward 114.1
Episode 78, Reward 7.0
Episode 78, Reward 8.05
Episode 78, Reward 7.0
Episode 78, Reward 14.35
Episode 78, Reward 7.35
Episode 79, Reward 12.35
Episode 79, Reward -45
Episode 79, Reward 15.7
Episode 79, Reward -52
Episode 79, Reward 111.0
Episode 80, Reward -57
Episode 80, Reward 20.05
Episode 80, Reward -64
Episode 80, Reward 112.0
Episode 80, Reward 1.75
Episode 81, Reward 10.05
Episode 81, Reward 9.0
Episode 81, Reward 10.05
Episode 81, Reward 9.0
Episode 81, Reward 9.0
Episode 82, Reward -29
Episode 82, Reward 123.7
Episode 82, Reward 17.0
Episode 82, Reward -31
Episode 82, Reward 14.1
Episode 83, Reward -52
Episode 83, Reward 107.05
Episode 83, Reward 113.4
Episode 83, Reward 106.7
Episode 83, Reward 113.0
Episode 84, Reward 23.35
Episode 84, Reward 8
Episode 84, Reward 13.05
Episode 84, Reward 12.0
Episode 84, Reward 13.05
Episode 85, Reward 12.35
Episode 85, Reward 13.4
Episode 85, Reward 13.0
Episode 85, Reward -4
Episode 85, Reward 7.4
Episode 86, Reward 6.0
Episode 86, Reward -6
Episode 86, Reward 6.0
Episode 86, Reward 7.05
Episode 86, Reward 6.0
Episode 87, Reward 19.7
Episode 87, Reward 28.0
Episode 87, Reward 14.05
Episode 87, Reward 15.1
Episode 87, Reward 7
Episode 88, Reward 6.0
Episode 88, Reward 7.4
Episode 88, Reward 6.0
Episode 88, Reward -7
Episode 88, Reward 18.7
Episode 89, Reward 12.0
Episode 89, Reward 6.0
Episode 89, Reward -28
Episode 89, Reward 7.4
Episode 89, Reward 22.0
Episode 90, Reward 6.0
Episode 90, Reward 7.05
Episode 90, Reward 47.349999999999994
Episode 90, Reward 17.7
Episode 90, Reward 7.75
Episode 91, Reward 114.35
Episode 91, Reward 49.05
Episode 91, Reward 48.349999999999994
Episode 91, Reward 48.699999999999996
Episode 91, Reward 48.349999999999994
Episode 92, Reward 6.0
Episode 92, Reward 1.4
Episode 92, Reward 0.0
Episode 92, Reward 0.35
Episode 92, Reward 6.35
Episode 93, Reward -80
Episode 93, Reward 6.0
Episode 93, Reward 1.4
Episode 93, Reward 6.0
Episode 93, Reward 112.7
Episode 94, Reward 18.05
Episode 94, Reward 12.0
Episode 94, Reward 18.7
Episode 94, Reward 30.0
Episode 94, Reward 14.05
Episode 95, Reward 9.0
Episode 95, Reward 12.35
Episode 95, Reward 125.4
Episode 95, Reward 118.0
Episode 95, Reward 118.35
Episode 96, Reward 123.0
Episode 96, Reward 124.75
Episode 96, Reward -19
Episode 96, Reward 18.0
Episode 96, Reward 123.75
Episode 97, Reward 124.4
Episode 97, Reward -16
Episode 97, Reward 19.05
Episode 97, Reward 123.4
Episode 97, Reward 120.05
Episode 98, Reward 12.35
Episode 98, Reward 16.0
Episode 98, Reward 12.0
Episode 98, Reward 21.0
Episode 98, Reward 12.35
Episode 99, Reward 13.35
Episode 99, Reward 17.35
Episode 99, Reward 17.75
Episode 99, Reward 19.0
Episode 99, Reward 14.75
Episode 100, Reward 1.4
Episode 100, Reward 13.0
Episode 100, Reward -41
Episode 100, Reward 18.0
Episode 100, Reward -36
Episode 101, Reward 13.35
Episode 101, Reward 0
Episode 101, Reward 1.4
Episode 101, Reward 1
Episode 101, Reward 120.05
Episode 102, Reward 114.4
Episode 102, Reward -47
Episode 102, Reward 94
Episode 102, Reward 227.0
Episode 102, Reward 121.7
Episode 103, Reward 7.05
Episode 103, Reward 90
Episode 103, Reward 219.35
Episode 103, Reward 13.7
Episode 103, Reward -59
Episode 104, Reward -10
Episode 104, Reward 125.35
Episode 104, Reward 12.0
Episode 104, Reward 7.05
Episode 104, Reward 19.35
Episode 105, Reward 125.1
Episode 105, Reward 12.7
Episode 105, Reward -9
Episode 105, Reward 124.35
Episode 105, Reward 117.35
Episode 106, Reward 18.7
Episode 106, Reward -53
Episode 106, Reward 12.35
Episode 106, Reward 118.75
Episode 106, Reward 113.7
Episode 107, Reward 7.75
Episode 107, Reward 6.0
Episode 107, Reward 11.0
Episode 107, Reward 43.449999999999996
Episode 107, Reward 8.45
