/home/zck7060/anaconda3/envs/mujoco/lib/python3.7/site-packages/tianshou/env/pettingzoo_env.py:15: DeprecationWarning: You are using PettingZoo 1.12.0. Future tianshou versions may not support PettingZoo<1.21.0. Consider upgrading your PettingZoo version.
  f"Consider upgrading your PettingZoo version.", DeprecationWarning
Episode 0, Reward 6.7
Episode 0, Reward 106.0
Episode 0, Reward 6.0
Episode 0, Reward 0.0
Episode 0, Reward 106.7
Episode 1, Reward 19.7
Episode 1, Reward 12.7
Episode 1, Reward 47.349999999999994
Episode 1, Reward 24.0
Episode 1, Reward 13.75
Episode 2, Reward 106.0
Episode 2, Reward 106.0
Episode 2, Reward 108.4
Episode 2, Reward 106.35
Episode 2, Reward 106.35
Episode 3, Reward 6.0
Episode 3, Reward 111.7
Episode 3, Reward 7.75
Episode 3, Reward 112.7
Episode 3, Reward 149.05
Episode 4, Reward 0.0
Episode 4, Reward 0.7
Episode 4, Reward 1.7
Episode 4, Reward 0.35
Episode 4, Reward 0.35
Episode 5, Reward 16.75
Episode 5, Reward 13.4
Episode 5, Reward 19.4
Episode 5, Reward 19.0
Episode 5, Reward 7
Episode 6, Reward 112.35
Episode 6, Reward 41.699999999999996
Episode 6, Reward 13.35
Episode 6, Reward 107.05
Episode 6, Reward 7.4
Episode 7, Reward 12.0
Episode 7, Reward 14.35
Episode 7, Reward -33
Episode 7, Reward 6.0
Episode 7, Reward 6.7
Episode 8, Reward 6.35
Episode 8, Reward 6.0
Episode 8, Reward 6.0
Episode 8, Reward 6.0
Episode 8, Reward 6.35
Episode 9, Reward 6.0
Episode 9, Reward 8.7
Episode 9, Reward 6.0
Episode 9, Reward 8.35
Episode 9, Reward 7.4
Episode 10, Reward 7.4
Episode 10, Reward 6.0
Episode 10, Reward 12.35
Episode 10, Reward 6.0
Episode 10, Reward 7.75
Episode 11, Reward 13.4
Episode 11, Reward 18.0
Episode 11, Reward 18.35
Episode 11, Reward 12.35
Episode 11, Reward 12.0
Episode 12, Reward 2.0999999999999996
Episode 12, Reward 24.0
Episode 12, Reward 7.7
Episode 12, Reward 18.35
Episode 12, Reward 18.0
Episode 13, Reward 124.35
Episode 13, Reward 125.0
Episode 13, Reward 124.0
Episode 13, Reward 124.0
Episode 13, Reward 118.0
Episode 14, Reward 8.4
Episode 14, Reward 6.7
Episode 14, Reward 14.0
Episode 14, Reward 1.75
Episode 14, Reward 0.35
Episode 15, Reward 19.4
Episode 15, Reward 19.4
Episode 15, Reward 18.0
Episode 15, Reward 18.35
Episode 15, Reward 18.7
Episode 16, Reward 12.0
Episode 16, Reward 1.7
Episode 16, Reward 0.0
Episode 16, Reward 0.35
Episode 16, Reward 7.05
Episode 17, Reward 7.05
Episode 17, Reward 6.0
Episode 17, Reward 7.05
Episode 17, Reward 6.35
Episode 17, Reward 6.0
Episode 18, Reward 13.0
Episode 18, Reward 13.35
Episode 18, Reward 13.75
Episode 18, Reward 13.0
Episode 18, Reward 14.75
Episode 19, Reward 6.7
Episode 19, Reward 6.7
